sqft,bedrooms,bathrooms,location,age,garage,pool,basement,price
4718,1,1.0660792109193948,Historic,86,2,0,0,556170
3900,2,4.001067465022747,Historic,22,1,0,0,612053
4178,3,3.2122771388407427,Downtown,74,3,1,1,645110
2614,3,2.894511497718781,Waterfront,73,0,1,0,526085
2763,3,1.646290763228559,Hillside,88,1,0,1,470927
3464,1,4.171960351937023,Downtown,29,0,0,0,578621
4096,2,2.890263961823619,Waterfront,21,2,0,1,695402
4357,1,2.46995594028734,Waterfront,54,2,0,1,662802
874,3,2.4760917566786604,Hillside,53,3,0,1,311657
3586,2,1.935541943842655,Suburbs,40,2,0,1,490464
1258,3,2.05948669218334,Waterfront,77,0,1,1,445620
2009,3,1.2151782746287185,Historic,79,1,0,1,397286
4283,4,1.5857713251547225,Downtown,24,0,0,0,612309
1852,3,2.195486509582004,Hillside,79,2,0,0,392902
4146,4,1.6795270092089578,Hillside,23,2,0,1,632675
2744,3,2.2140922893367203,Historic,40,3,1,0,546619
1777,4,4.0991569705988145,Historic,2,1,0,0,475379
2203,4,1.2069851596408396,Historic,34,1,1,0,496912
3029,2,1.4227340342720622,Historic,95,0,1,0,461320
4013,2,1.17613829917308,Hillside,44,1,0,0,534375
3345,4,3.134692024923347,Waterfront,71,1,0,1,655406
4719,2,2.860281886218941,Waterfront,10,3,1,1,755855
4444,3,2.3203972035973077,Historic,63,3,0,1,700114
3964,1,1.3607586865182535,Downtown,37,0,0,0,546536
3333,3,2.0552704095012277,Hillside,74,1,1,0,533085
2017,3,2.3573696235020543,Historic,92,2,1,0,446222
2532,4,2.26480717732158,Historic,53,1,0,0,517574
1299,3,3.6104850673417888,Suburbs,10,0,0,1,403927
2371,2,4.205390297672407,Suburbs,47,3,0,0,427159
4691,5,2.8883654530628404,Waterfront,12,2,1,1,850674
2588,3,4.929666620919555,Historic,44,2,0,0,512167
